状态名,对应枚举变量字符串,状态介绍,基础倍率,是否是Debuff(填是或否),是否是Dot(填是或否),最大有效层数,持续时间类型(Turn/ActionValue/Special),默认持续回合数,默认持续行动值,额外变量1,注释,额外变量2,注释,额外变量3,注释,额外变量4,注释
Name,EnumName,Description,BaseMultiplier,IsDebuff,IsDot,MaxStacks,DurationType,DefaultTurns,DefaultActionValue,Extra_Data_1,,Extra_Data_2,,Extra_Data_3,,Extra_Data_4,
追惩,PursuitPunish,敌方获得减益时为其施加惩戒标记并插入一次追加回合；处于非自身回合时伤害提高15%。,0.2,否,否,1,Turn,2,100,0.15,回合外增伤,0,预留,0,预留,0,预留
惩戒标记,PunishMark,由追惩施加的特殊减益标记，用于被追惩追加技选中并在结算后移除。,0,是,否,1,Special,0,100,0,预留,0,预留,0,预留,0,预留
持续煎熬,PersistentTorment,按层数降低目标输出，并在目标行动时按层数概率施加震慑。,0,是,否,5,ActionValue,1,300,0.05,每层减伤,0.1,每层震慑概率,1,震慑持续回合,0,预留
序焰,SeqFlame,在目标行动前触发1次持续伤害。刷新时立即按60%结算并重置持续时间。,0.22,是,是,1,Turn,2,100,0.6,刷新结算倍率,0,预留,0,预留,0,预留
震慑,Daze,无法行动，并在其下次行动结束前承受1.4倍伤害。,0,是,否,1,Turn,1,100,1.4,承伤倍率,0,预留,0,预留,0,预留
冰寒,Ice,在目标行动前触发1次持续伤害。刷新时立即按60%结算并重置持续时间。,0.1,是,是,1,Turn,3,100,0.6,刷新结算倍率,0,预留,0,预留,0,预留
腐蚀,Corrosion,在目标行动前触发1次持续伤害。刷新时立即按60%结算并重置持续时间。,0.1,是,是,1,Turn,3,100,0.6,刷新结算倍率,0,预留,0,预留,0,预留
风蚀,Wind,在目标行动前触发1次持续伤害。刷新时立即按60%结算并重置持续时间。,0.1,是,是,1,Turn,3,100,0.6,刷新结算倍率,0,预留,0,预留,0,预留
元素引爆,ElementalDetonation,目标死亡时按其身上DOT总伤害对其他敌人造成一次真伤爆发，并使其承受DOT伤害提高。,0,是,否,1,Turn,2,100,1.3,承受DOT伤害倍率,0,预留,0,预留,0,预留
蓄势逆击,CounterCharge,进入蓄势体系。施加时获得初始蓄势，并在直伤技能结算或自身受击时继续积累。,0,否,否,1,Special,0,100,4,初始蓄势层数,3,自身受击增加层数,1,其他直伤技能增加层数,0,预留
